                                 enable  prepare  protect                                duty  hardware                            connection
   clock                          count    count    count        rate   accuracy phase  cycle    enable   consumer                         id
    npll_1600m                       1       1        0        1600000000  0          0     50000      Y      deviceless                      no_connection_id         
       npll_533m                     0       0        0        533333333   0          0     50000      Y         deviceless                      no_connection_id         
          clk_dpu_src_sel            0       0        0        533333333   0          0     50000      Y            deviceless                      no_connection_id         
             clk_dpu_eb              0       0        0        533333333   0          0     50000      N               deviceless                      no_connection_id         
             pclk_dpu_eb             0       0        0        533333333   0          0     50000      N               deviceless                      no_connection_id         
          clk_mm_glb_sel             0       0        0        533333333   0          0     50000      Y            deviceless                      no_connection_id         
             clk_cmd_eb              0       0        0        533333333   0          0     50000      N               deviceless                      no_connection_id         
             clk_fbc_eb              0       0        0        533333333   0          0     50000      N               deviceless                      no_connection_id         
             clk_fbcd_eb             0       0        0        533333333   0          0     50000      N               deviceless                      no_connection_id         
             pclk_cmd_eb             0       0        0        533333333   0          0     50000      N               deviceless                      no_connection_id         
          aclk_mm_top_sel            0       0        0        533333333   0          0     50000      Y            deviceless                      no_connection_id         
          aclk_nn_top_sel            0       0        0        533333333   0          0     50000      Y            deviceless                      no_connection_id         
          aclk_ocm_top_sel           0       0        0        533333333   0          0     50000      Y            deviceless                      no_connection_id         
          aclk_vpu_top_sel           0       0        0        533333333   0          0     50000      Y            deviceless                      no_connection_id         
          aclk_cpu_top_sel           0       0        0        533333333   0          0     50000      Y            deviceless                      no_connection_id         
          aclk_isp_top_sel           0       0        0        533333333   0          0     50000      Y            deviceless                      no_connection_id         
       npll_800m                     1       1        0        800000000   0          0     50000      Y         deviceless                      no_connection_id         
          npll_400m                  2       2        0        400000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_sdio_m_card_divn    0       0        0        400000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_sdio_m_card_eb   0       0        0        400000000   0          0     50000      N                  deviceless                      no_connection_id         
             clk_sd_card_divn        1       1        0        200000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_sd_card_eb       1       1        0        200000000   0          0     50000      Y                  104e0000.mmc                    no_connection_id         
                                                                                                                          deviceless                      no_connection_id         
             npll_200m               0       0        0        200000000   0          0     50000      Y               deviceless                      no_connection_id         
                npll_100m            0       0        0        100000000   0          0     50000      Y                  deviceless                      no_connection_id         
                   npll_50m          0       0        0        50000000    0          0     50000      Y                     deviceless                      no_connection_id         
