CODEC: H.265/HEVC (fixed-QP overlay, level_idc 123)
RC: cbr 8000 kbps @ 60 fps gop 30, seed QP 32
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame 148: P   qp=16 wait=0 bytes=93     cycles=2079437  nal=1 ok
frame 149: P   qp=16 wait=0 bytes=89     cycles=2079445  nal=1 ok
frame 150: IDR qp=22 wait=0 bytes=809    cycles=2081081  nal=19 ok
frame 151: P   qp=25 wait=0 bytes=76     cycles=2085817  nal=1 ok
frame 152: P   qp=24 wait=0 bytes=85     cycles=2085604  nal=1 ok
frame 153: P   qp=23 wait=0 bytes=134    cycles=2085883  nal=1 ok
frame 154: P   qp=22 wait=0 bytes=116    cycles=2087419  nal=1 ok
frame 155: P   qp=21 wait=0 bytes=119    cycles=2086689  nal=1 ok
frame 156: P   qp=20 wait=0 bytes=104    cycles=2086461  nal=1 ok
frame 157: P   qp=19 wait=0 bytes=106    cycles=2085443  nal=1 ok
frame 158: P   qp=18 wait=0 bytes=108    cycles=2085375  nal=1 ok
frame 159: P   qp=17 wait=0 bytes=140    cycles=2085140  nal=1 ok
frame 160: P   qp=16 wait=0 bytes=125    cycles=2085712  nal=1 ok
frame 161: P   qp=16 wait=0 bytes=82     cycles=2085508  nal=1 ok
frame 162: P   qp=16 wait=0 bytes=86     cycles=2085503  nal=1 ok
frame 163: P   qp=16 wait=0 bytes=84     cycles=2085501  nal=1 ok
frame 164: P   qp=16 wait=0 bytes=87     cycles=2085508  nal=1 ok
frame 165: P   qp=16 wait=0 bytes=83     cycles=2085502  nal=1 ok
frame 166: P   qp=16 wait=0 bytes=91     cycles=2085525  nal=1 ok
frame 167: P   qp=16 wait=0 bytes=88     cycles=2085510  nal=1 ok
frame 168: P   qp=16 wait=0 bytes=103    cycles=2085312  nal=1 ok
frame 169: P   qp=16 wait=0 bytes=101    cycles=2085410  nal=1 ok
frame 170: P   qp=16 wait=0 bytes=99     cycles=2085435  nal=1 ok
frame 171: P   qp=16 wait=0 bytes=99     cycles=2085536  nal=1 ok
frame 172: P   qp=16 wait=0 bytes=101    cycles=2085530  nal=1 ok
frame 173: P   qp=16 wait=0 bytes=92     cycles=2085508  nal=1 ok
frame 174: P   qp=16 wait=0 bytes=108    cycles=2085328  nal=1 ok
frame 175: P   qp=16 wait=0 bytes=97     cycles=2085298  nal=1 ok
frame 176: P   qp=16 wait=0 bytes=93     cycles=2085508  nal=1 ok
frame 177: P   qp=16 wait=0 bytes=83     cycles=2085507  nal=1 ok
frame 178: P   qp=16 wait=0 bytes=87     cycles=2085537  nal=1 ok
frame 179: P   qp=16 wait=0 bytes=85     cycles=2085520  nal=1 ok

RESULT: PASS -- 180/180 frames blob-free (32437 stream bytes, written; avg P = 155 bytes; RC achieved 85 kbps over 180 frames (target 8000))
