RC: cbr 8000 kbps @ 60 fps gop 30, seed QP 32 (retarget at half-way)
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame  80: P   qp=17 wait=0 bytes=143    cycles=2043171  nal=1 ok
frame  81: P   qp=17 wait=0 bytes=105    cycles=2043172  nal=1 ok
frame  82: P   qp=17 wait=0 bytes=144    cycles=2043171  nal=1 ok
frame  83: P   qp=17 wait=0 bytes=105    cycles=2043171  nal=1 ok
frame  84: P   qp=17 wait=0 bytes=143    cycles=2043186  nal=1 ok
frame  85: P   qp=17 wait=0 bytes=117    cycles=2043171  nal=1 ok
frame  86: P   qp=17 wait=0 bytes=144    cycles=2043171  nal=1 ok
frame  87: P   qp=17 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame  88: P   qp=17 wait=0 bytes=146    cycles=2043187  nal=1 ok
frame  89: P   qp=17 wait=0 bytes=105    cycles=2043172  nal=1 ok
frame  90: IDR qp=26 wait=0 bytes=725    cycles=2090949  nal=5 ok
frame  91: P   qp=29 wait=0 bytes=107    cycles=2043207  nal=1 ok
frame  92: P   qp=28 wait=0 bytes=135    cycles=2043211  nal=1 ok
frame  93: P   qp=27 wait=0 bytes=124    cycles=2043190  nal=1 ok
frame  94: P   qp=26 wait=0 bytes=138    cycles=2043173  nal=1 ok
frame  95: P   qp=25 wait=0 bytes=101    cycles=2043174  nal=1 ok
frame  96: P   qp=24 wait=0 bytes=137    cycles=2043174  nal=1 ok
frame  97: P   qp=23 wait=0 bytes=102    cycles=2043176  nal=1 ok
frame  98: P   qp=22 wait=0 bytes=140    cycles=2043200  nal=1 ok
frame  99: P   qp=21 wait=0 bytes=126    cycles=2043173  nal=1 ok
frame 100: P   qp=20 wait=0 bytes=146    cycles=2043173  nal=1 ok
frame 101: P   qp=19 wait=0 bytes=127    cycles=2043215  nal=1 ok
frame 102: P   qp=18 wait=0 bytes=153    cycles=2043174  nal=1 ok
frame 103: P   qp=17 wait=0 bytes=185    cycles=2043175  nal=1 ok
frame 104: P   qp=16 wait=0 bytes=151    cycles=2043178  nal=1 ok
frame 105: P   qp=16 wait=0 bytes=142    cycles=2043178  nal=1 ok
frame 106: P   qp=16 wait=0 bytes=148    cycles=2043178  nal=1 ok
frame 107: P   qp=16 wait=0 bytes=137    cycles=2043177  nal=1 ok
frame 108: P   qp=16 wait=0 bytes=148    cycles=2043178  nal=1 ok
frame 109: P   qp=16 wait=0 bytes=150    cycles=2043178  nal=1 ok
frame 110: P   qp=16 wait=0 bytes=167    cycles=2043177  nal=1 ok
frame 111: P   qp=16 wait=0 bytes=158    cycles=2043178  nal=1 ok
frame 112: P   qp=16 wait=0 bytes=157    cycles=2043178  nal=1 ok
frame 113: P   qp=16 wait=0 bytes=147    cycles=2043178  nal=1 ok
frame 114: P   qp=16 wait=0 bytes=198    cycles=2043197  nal=1 ok
frame 115: P   qp=16 wait=0 bytes=107    cycles=2043197  nal=1 ok
frame 116: P   qp=16 wait=0 bytes=143    cycles=2043199  nal=1 ok
frame 117: P   qp=16 wait=0 bytes=106    cycles=2043178  nal=1 ok
frame 118: P   qp=16 wait=0 bytes=144    cycles=2043178  nal=1 ok
frame 119: P   qp=16 wait=0 bytes=103    cycles=2043178  nal=1 ok
frame 120: IDR qp=37 wait=0 bytes=689    cycles=2090701  nal=5 ok
frame 121: P   qp=40 wait=0 bytes=98     cycles=2043172  nal=1 ok
frame 122: P   qp=39 wait=0 bytes=202    cycles=2043172  nal=1 ok
frame 123: P   qp=38 wait=0 bytes=190    cycles=2043171  nal=1 ok
frame 124: P   qp=37 wait=0 bytes=276    cycles=2043204  nal=1 ok
frame 125: P   qp=36 wait=0 bytes=418    cycles=2043172  nal=1 ok
frame 126: P   qp=35 wait=0 bytes=681    cycles=2043174  nal=1 ok
frame 127: P   qp=34 wait=0 bytes=556    cycles=2043171  nal=1 ok
frame 128: P   qp=33 wait=0 bytes=729    cycles=2043172  nal=1 ok
frame 129: P   qp=32 wait=0 bytes=751    cycles=2043195  nal=1 ok
frame 130: P   qp=31 wait=0 bytes=502    cycles=2043191  nal=1 ok
frame 131: P   qp=30 wait=0 bytes=214    cycles=2043229  nal=1 ok
frame 132: P   qp=29 wait=0 bytes=598    cycles=2043281  nal=1 ok
frame 133: P   qp=28 wait=0 bytes=106    cycles=2043191  nal=1 ok
frame 134: P   qp=27 wait=0 bytes=468    cycles=2043196  nal=1 ok
frame 135: P   qp=26 wait=0 bytes=332    cycles=2043195  nal=1 ok
frame 136: P   qp=26 wait=0 bytes=107    cycles=2043171  nal=1 ok
frame 137: P   qp=26 wait=0 bytes=110    cycles=2043171  nal=1 ok
frame 138: P   qp=26 wait=0 bytes=113    cycles=2043187  nal=1 ok
frame 139: P   qp=26 wait=0 bytes=139    cycles=2043172  nal=1 ok
frame 140: P   qp=26 wait=0 bytes=99     cycles=2043195  nal=1 ok
frame 141: P   qp=26 wait=0 bytes=109    cycles=2043195  nal=1 ok
frame 142: P   qp=26 wait=0 bytes=101    cycles=2043172  nal=1 ok
frame 143: P   qp=26 wait=0 bytes=113    cycles=2043186  nal=1 ok
frame 144: P   qp=26 wait=0 bytes=114    cycles=2043190  nal=1 ok
frame 145: P   qp=26 wait=0 bytes=122    cycles=2043172  nal=1 ok
frame 146: P   qp=26 wait=0 bytes=102    cycles=2043172  nal=1 ok
frame 147: P   qp=26 wait=0 bytes=111    cycles=2043171  nal=1 ok
frame 148: P   qp=26 wait=0 bytes=108    cycles=2043172  nal=1 ok
frame 149: P   qp=26 wait=0 bytes=112    cycles=2043171  nal=1 ok
frame 150: IDR qp=35 wait=0 bytes=715    cycles=2091101  nal=5 ok
