CODEC: H.265/HEVC (fixed-QP overlay, level_idc 123)
RC: vbr 2000 kbps @ 60 fps gop 30, seed QP 36
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame 132: P   qp=16 wait=0 bytes=80     cycles=2085505  nal=1 ok
frame 133: P   qp=16 wait=0 bytes=75     cycles=2085514  nal=1 ok
frame 134: P   qp=16 wait=0 bytes=81     cycles=2085474  nal=1 ok
frame 135: P   qp=16 wait=0 bytes=77     cycles=2085461  nal=1 ok
frame 136: P   qp=16 wait=0 bytes=79     cycles=2085481  nal=1 ok
frame 137: P   qp=16 wait=0 bytes=75     cycles=2085456  nal=1 ok
frame 138: P   qp=16 wait=0 bytes=93     cycles=2085408  nal=1 ok
frame 139: P   qp=16 wait=0 bytes=88     cycles=2085282  nal=1 ok
frame 140: P   qp=16 wait=0 bytes=90     cycles=2085300  nal=1 ok
frame 141: P   qp=16 wait=0 bytes=84     cycles=2085464  nal=1 ok
frame 142: P   qp=16 wait=0 bytes=86     cycles=2085455  nal=1 ok
frame 143: P   qp=16 wait=0 bytes=87     cycles=2085473  nal=1 ok
frame 144: P   qp=16 wait=0 bytes=103    cycles=2085275  nal=1 ok
frame 145: P   qp=16 wait=0 bytes=89     cycles=2085289  nal=1 ok
frame 146: P   qp=16 wait=0 bytes=85     cycles=2085503  nal=1 ok
frame 147: P   qp=16 wait=0 bytes=78     cycles=2085476  nal=1 ok
frame 148: P   qp=16 wait=0 bytes=79     cycles=2085496  nal=1 ok
frame 149: P   qp=16 wait=0 bytes=76     cycles=2085456  nal=1 ok
frame 150: IDR qp=17 wait=0 bytes=768    cycles=2081258  nal=19 ok
frame 151: P   qp=17 wait=0 bytes=87     cycles=2085512  nal=1 ok
frame 152: P   qp=16 wait=0 bytes=88     cycles=2088085  nal=1 ok
frame 153: P   qp=16 wait=0 bytes=94     cycles=2085397  nal=1 ok
frame 154: P   qp=16 wait=0 bytes=95     cycles=2085436  nal=1 ok
frame 155: P   qp=16 wait=0 bytes=89     cycles=2085495  nal=1 ok
frame 156: P   qp=16 wait=0 bytes=90     cycles=2085516  nal=1 ok
frame 157: P   qp=16 wait=0 bytes=85     cycles=2085492  nal=1 ok
frame 158: P   qp=16 wait=0 bytes=98     cycles=2085383  nal=1 ok
frame 159: P   qp=16 wait=0 bytes=124    cycles=2085502  nal=1 ok
frame 160: P   qp=16 wait=0 bytes=90     cycles=2085546  nal=1 ok
frame 161: P   qp=16 wait=0 bytes=75     cycles=2085494  nal=1 ok
frame 162: P   qp=16 wait=0 bytes=79     cycles=2085535  nal=1 ok
frame 163: P   qp=16 wait=0 bytes=77     cycles=2085511  nal=1 ok
frame 164: P   qp=16 wait=0 bytes=79     cycles=2085513  nal=1 ok
frame 165: P   qp=16 wait=0 bytes=76     cycles=2085516  nal=1 ok
frame 166: P   qp=16 wait=0 bytes=82     cycles=2085490  nal=1 ok
frame 167: P   qp=16 wait=0 bytes=77     cycles=2085496  nal=1 ok
frame 168: P   qp=16 wait=0 bytes=97     cycles=2085290  nal=1 ok
frame 169: P   qp=16 wait=0 bytes=91     cycles=2085350  nal=1 ok
frame 170: P   qp=16 wait=0 bytes=97     cycles=2085419  nal=1 ok
frame 171: P   qp=16 wait=0 bytes=86     cycles=2085495  nal=1 ok
frame 172: P   qp=16 wait=0 bytes=90     cycles=2085492  nal=1 ok
frame 173: P   qp=16 wait=0 bytes=87     cycles=2085498  nal=1 ok
frame 174: P   qp=16 wait=0 bytes=104    cycles=2085344  nal=1 ok
frame 175: P   qp=16 wait=0 bytes=109    cycles=2085134  nal=1 ok
frame 176: P   qp=16 wait=0 bytes=108    cycles=2085407  nal=1 ok
frame 177: P   qp=16 wait=0 bytes=94     cycles=2085398  nal=1 ok
frame 178: P   qp=16 wait=0 bytes=88     cycles=2085496  nal=1 ok
frame 179: P   qp=16 wait=0 bytes=88     cycles=2085434  nal=1 ok

RESULT: PASS -- 180/180 frames blob-free (24007 stream bytes, written; avg P = 108 bytes; RC achieved 63 kbps over 180 frames (target 2000))
