=== pool_asic3: priming H.264 encode (6 frames @ 8000 kbps) ===
  read_img[0] rc=1 len=32
  read_img[1] rc=2 len=8
  read_img[2] rc=3 len=19439
  read_img[3] rc=4 len=11365
  read_img[4] rc=4 len=10490
  read_img[5] rc=4 len=8078
=== encoder register image base (first 0x90101010) = 0x7381c800 ===
=== FULL RAW DUMP: encoder register image, swreg0..319 (absolute phys) ===
phys=0x7381cb48  +0x348  swreg210  0x00780ff8
phys=0x7381cb4c  +0x34c  swreg211  0x00000ff8
phys=0x7381cb50  +0x350  swreg212  0x01e00ff8
phys=0x7381cb54  +0x354  swreg213  0x01e03fe0
phys=0x7381cb58  +0x358  swreg214  0x48500800
phys=0x7381cb5c  +0x35c  swreg215  0x0003fc00
phys=0x7381cb60  +0x360  swreg216  0x0003fc00
phys=0x7381cb64  +0x364  swreg217  0x00007f80
phys=0x7381cb68  +0x368  swreg218  0x00007f80
phys=0x7381cb6c  +0x36c  swreg219  0x00009cb5
phys=0x7381cb70  +0x370  swreg220  0x00009cb5
phys=0x7381cb74  +0x374  swreg221  0x000018cd
phys=0x7381cb78  +0x378  swreg222  0x000018cd
phys=0x7381cb7c  +0x37c  swreg223  0x000018cd
phys=0x7381cb80  +0x380  swreg224  0x00020080
phys=0x7381cb84  +0x384  swreg225  0x01014040
phys=0x7381cb88  +0x388  swreg226  0x00a19200
phys=0x7381cb8c  +0x38c  swreg227  0x00000000
phys=0x7381cb90  +0x390  swreg228  0x00000000
phys=0x7381cb94  +0x394  swreg229  0x00000000
phys=0x7381cb98  +0x398  swreg230  0x00000000
phys=0x7381cb9c  +0x39c  swreg231  0x00000000
phys=0x7381cba0  +0x3a0  swreg232  0x00000000
phys=0x7381cba4  +0x3a4  swreg233  0x00000000
phys=0x7381cba8  +0x3a8  swreg234  0x00000000
phys=0x7381cbac  +0x3ac  swreg235  0x00000000
phys=0x7381cbb0  +0x3b0  swreg236  0x00000000
phys=0x7381cbb4  +0x3b4  swreg237  0x00000000
phys=0x7381cbb8  +0x3b8  swreg238  0x00000000
phys=0x7381cbbc  +0x3bc  swreg239  0x75427000
phys=0x7381cbc0  +0x3c0  swreg240  0x00000000
phys=0x7381cbc4  +0x3c4  swreg241  0x75425000
phys=0x7381cbc8  +0x3c8  swreg242  0x00000000
phys=0x7381cbcc  +0x3cc  swreg243  0x01132000
phys=0x7381cbd0  +0x3d0  swreg244  0x0629f800
phys=0x7381cbd4  +0x3d4  swreg245  0x20000888
phys=0x7381cbd8  +0x3d8  swreg246  0x02225028
phys=0x7381cbdc  +0x3dc  swreg247  0x002d4580
phys=0x7381cbe0  +0x3e0  swreg248  0x03bd6800
phys=0x7381cbe4  +0x3e4  swreg249  0x00fff7f8
phys=0x7381cbe8  +0x3e8  swreg250  0x00000000
phys=0x7381cbec  +0x3ec  swreg251  0x00000000
phys=0x7381cbf0  +0x3f0  swreg252  0xfffffffc
phys=0x7381cbf4  +0x3f4  swreg253  0xfffffffc
phys=0x7381cbf8  +0x3f8  swreg254  0xfffffffc
phys=0x7381cbfc  +0x3fc  swreg255  0xfffffffc
phys=0x7381cc00  +0x400  swreg256  0xfffffffc
phys=0x7381cc04  +0x404  swreg257  0xfffffffc
phys=0x7381cc08  +0x408  swreg258  0xfffffffc
phys=0x7381cc0c  +0x40c  swreg259  0xfffffffc
phys=0x7381cc10  +0x410  swreg260  0x00000000
phys=0x7381cc14  +0x414  swreg261  0x07800400
phys=0x7381cc18  +0x418  swreg262  0x00000000
phys=0x7381cc1c  +0x41c  swreg263  0x00000000
