# register image marker#1 @0x7381e800  swreg0..400
phys=0x7381eadc  +0x2dc  swreg183  0x023dda00
phys=0x7381eae0  +0x2e0  swreg184  0x07f80000
phys=0x7381eae4  +0x2e4  swreg185  0x0514e000
phys=0x7381eae8  +0x2e8  swreg186  0x00000000
phys=0x7381eaec  +0x2ec  swreg187  0x00000000
phys=0x7381eaf0  +0x2f0  swreg188  0x00000000
phys=0x7381eaf4  +0x2f4  swreg189  0x00000000
phys=0x7381eaf8  +0x2f8  swreg190  0x04000000
phys=0x7381eafc  +0x2fc  swreg191  0x04000000
phys=0x7381eb00  +0x300  swreg192  0x00000006
phys=0x7381eb04  +0x304  swreg193  0x00200119
phys=0x7381eb08  +0x308  swreg194  0x0010011c
phys=0x7381eb0c  +0x30c  swreg195  0x0000fff0
phys=0x7381eb10  +0x310  swreg196  0x00100000
phys=0x7381eb14  +0x314  swreg197  0xffc00000
phys=0x7381eb18  +0x318  swreg198  0x00000e00
phys=0x7381eb1c  +0x31c  swreg199  0x00000000
phys=0x7381eb20  +0x320  swreg200  0x00000000
phys=0x7381eb24  +0x324  swreg201  0x00000000
phys=0x7381eb28  +0x328  swreg202  0x00000000
phys=0x7381eb2c  +0x32c  swreg203  0x00000000
phys=0x7381eb30  +0x330  swreg204  0x00000000
phys=0x7381eb34  +0x334  swreg205  0x00000000
phys=0x7381eb38  +0x338  swreg206  0x00000000
phys=0x7381eb3c  +0x33c  swreg207  0x00000000
phys=0x7381eb40  +0x340  swreg208  0x78001ff0
phys=0x7381eb44  +0x344  swreg209  0xffffffe0
phys=0x7381eb48  +0x348  swreg210  0x00780ff8
phys=0x7381eb4c  +0x34c  swreg211  0x00000ff8
phys=0x7381eb50  +0x350  swreg212  0x01e00ff8
phys=0x7381eb54  +0x354  swreg213  0x01e03fe0
phys=0x7381eb58  +0x358  swreg214  0x48500800
phys=0x7381eb5c  +0x35c  swreg215  0x00054c0e
phys=0x7381eb60  +0x360  swreg216  0x00054c0e
phys=0x7381eb64  +0x364  swreg217  0x0000f864
phys=0x7381eb68  +0x368  swreg218  0x0000f864
phys=0x7381eb6c  +0x36c  swreg219  0x00008fb5
phys=0x7381eb70  +0x370  swreg220  0x00008fb5
phys=0x7381eb74  +0x374  swreg221  0x00001906
phys=0x7381eb78  +0x378  swreg222  0x00001906
phys=0x7381eb7c  +0x37c  swreg223  0x00001906
phys=0x7381eb80  +0x380  swreg224  0x00020080
phys=0x7381eb84  +0x384  swreg225  0x01014040
phys=0x7381eb88  +0x388  swreg226  0x00a19200
phys=0x7381eb8c  +0x38c  swreg227  0x00000000
phys=0x7381eb90  +0x390  swreg228  0x00000000
phys=0x7381eb94  +0x394  swreg229  0x00000000
phys=0x7381eb98  +0x398  swreg230  0x00000000
phys=0x7381eb9c  +0x39c  swreg231  0x00000000
phys=0x7381eba0  +0x3a0  swreg232  0x00000000
phys=0x7381eba4  +0x3a4  swreg233  0x00000000
phys=0x7381eba8  +0x3a8  swreg234  0x00000000
phys=0x7381ebac  +0x3ac  swreg235  0x00000000
phys=0x7381ebb0  +0x3b0  swreg236  0x00000000
phys=0x7381ebb4  +0x3b4  swreg237  0x00000000
