# register image marker#3 @0x73822800  swreg0..400
phys=0x73822dc4  +0x5c4  swreg369  0x00000000
phys=0x73822dc8  +0x5c8  swreg370  0x00000000
phys=0x73822dcc  +0x5cc  swreg371  0x00000000
phys=0x73822dd0  +0x5d0  swreg372  0x00000000
phys=0x73822dd4  +0x5d4  swreg373  0x00000000
phys=0x73822dd8  +0x5d8  swreg374  0x00000000
phys=0x73822ddc  +0x5dc  swreg375  0x00000000
phys=0x73822de0  +0x5e0  swreg376  0x00000000
phys=0x73822de4  +0x5e4  swreg377  0x00000000
phys=0x73822de8  +0x5e8  swreg378  0x00000000
phys=0x73822dec  +0x5ec  swreg379  0x00000000
phys=0x73822df0  +0x5f0  swreg380  0x00000000
phys=0x73822df4  +0x5f4  swreg381  0x00000000
phys=0x73822df8  +0x5f8  swreg382  0x00000000
phys=0x73822dfc  +0x5fc  swreg383  0x00000000
phys=0x73822e00  +0x600  swreg384  0x00000000
phys=0x73822e04  +0x604  swreg385  0x00000000
phys=0x73822e08  +0x608  swreg386  0x00000000
phys=0x73822e0c  +0x60c  swreg387  0x00000000
phys=0x73822e10  +0x610  swreg388  0x00000000
phys=0x73822e14  +0x614  swreg389  0x00000000
phys=0x73822e18  +0x618  swreg390  0x00000000
phys=0x73822e1c  +0x61c  swreg391  0x00000000
phys=0x73822e20  +0x620  swreg392  0x00000000
phys=0x73822e24  +0x624  swreg393  0x00000000
phys=0x73822e28  +0x628  swreg394  0x00000000
phys=0x73822e2c  +0x62c  swreg395  0x00000000
phys=0x73822e30  +0x630  swreg396  0x00000000
phys=0x73822e34  +0x634  swreg397  0x00000000
phys=0x73822e38  +0x638  swreg398  0x00000000
phys=0x73822e3c  +0x63c  swreg399  0x00000000
phys=0x73822e40  +0x640  swreg400  0x00000000
