# transitions of watched words during Start..Stop (t0 = first sample); 4000 events
# t_us csi+04 csi+28 csi+2c csi+40 csi+4c csi+50 csi+100 csi+110 csi+118 dphy+34 dphy+110 glb+00
     0.0 deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef 000005af
 50105.3 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50159.8 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50196.1 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50210.0 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50261.9 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50280.0 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50348.4 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50370.9 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50384.7 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50438.3 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50456.5 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50492.8 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50511.0 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50547.3 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50565.5 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50579.4 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50631.3 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50649.4 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50685.8 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50699.6 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50751.6 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50769.7 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50787.9 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50801.8 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50853.6 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50871.8 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50908.1 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50922.0 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50973.9 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 50992.1 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 51010.2 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 51024.1 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 51076.0 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 51094.2 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
